row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub-category,product_name,sales
34,US-2016-150630,17/09/2016,21/09/2016,STANDARD CLASS,TB-21520,TRACY BLUMSTEIN,CONSUMER,UNITED STATES,PHILADELPHIA,PENNSYLVANIA,19140.0,EAST,OFF-AR-10001683,OFFICE SUPPLIES,ART,LUMBER CRAYONS,15.76
35,CA-2018-107727,19/10/2018,23/10/2018,SECOND CLASS,MA-17560,MATT ABELMAN,HOME OFFICE,UNITED STATES,HOUSTON,TEXAS,77095.0,CENTRAL,OFF-PA-10000249,OFFICE SUPPLIES,PAPER,EASY-STAPLE PAPER,29.472
36,CA-2017-117590,08/12/2017,10/12/2017,FIRST CLASS,GH-14485,GENE HALE,CORPORATE,UNITED STATES,RICHARDSON,TEXAS,75080.0,CENTRAL,TEC-PH-10004977,TECHNOLOGY,PHONES,GE 30524EE4,1097.544
37,CA-2017-117590,08/12/2017,10/12/2017,FIRST CLASS,GH-14485,GENE HALE,CORPORATE,UNITED STATES,RICHARDSON,TEXAS,75080.0,CENTRAL,FUR-FU-10003664,FURNITURE,FURNISHINGS,"ELECTRIX ARCHITECT'S CLAMP-ON SWING ARM LAMP, BLACK",190.92
38,CA-2016-117415,27/12/2016,31/12/2016,STANDARD CLASS,SN-20710,STEVE NGUYEN,HOME OFFICE,UNITED STATES,HOUSTON,TEXAS,77041.0,CENTRAL,OFF-EN-10002986,OFFICE SUPPLIES,ENVELOPES,"#10-4 1/8"" X 9 1/2"" PREMIUM DIAGONAL SEAM ENVELOPES",113.328
39,CA-2016-117415,27/12/2016,31/12/2016,STANDARD CLASS,SN-20710,STEVE NGUYEN,HOME OFFICE,UNITED STATES,HOUSTON,TEXAS,77041.0,CENTRAL,FUR-BO-10002545,FURNITURE,BOOKCASES,"ATLANTIC METALS MOBILE 3-SHELF BOOKCASES, CUSTOM COLORS",532.3992
40,CA-2016-117415,27/12/2016,31/12/2016,STANDARD CLASS,SN-20710,STEVE NGUYEN,HOME OFFICE,UNITED STATES,HOUSTON,TEXAS,77041.0,CENTRAL,FUR-CH-10004218,FURNITURE,CHAIRS,"GLOBAL FABRIC MANAGER'S CHAIR, DARK GRAY",212.058
41,CA-2016-117415,27/12/2016,31/12/2016,STANDARD CLASS,SN-20710,STEVE NGUYEN,HOME OFFICE,UNITED STATES,HOUSTON,TEXAS,77041.0,CENTRAL,TEC-PH-10000486,TECHNOLOGY,PHONES,PLANTRONICS HL10 HANDSET LIFTER,371.168
42,CA-2018-120999,10/09/2018,15/09/2018,STANDARD CLASS,LC-16930,LINDA CAZAMIAS,CORPORATE,UNITED STATES,NAPERVILLE,ILLINOIS,60540.0,CENTRAL,TEC-PH-10004093,TECHNOLOGY,PHONES,PANASONIC KX-TS550,147.168
43,CA-2017-101343,17/07/2017,22/07/2017,STANDARD CLASS,RA-19885,RUBEN AUSMAN,CORPORATE,UNITED STATES,LOS ANGELES,CALIFORNIA,90049.0,WEST,OFF-ST-10003479,OFFICE SUPPLIES,STORAGE,"ELDON BASE FOR STACKABLE STORAGE SHELF, PLATINUM",77.88
44,CA-2018-139619,19/09/2018,23/09/2018,STANDARD CLASS,ES-14080,ERIN SMITH,CORPORATE,UNITED STATES,MELBOURNE,FLORIDA,32935.0,SOUTH,OFF-ST-10003282,OFFICE SUPPLIES,STORAGE,"ADVANTUS 10-DRAWER PORTABLE ORGANIZER, CHROME METAL FRAME, SMOKE DRAWERS",95.616
45,CA-2017-118255,11/03/2017,13/03/2017,FIRST CLASS,ON-18715,ODELLA NELSON,CORPORATE,UNITED STATES,EAGAN,MINNESOTA,55122.0,CENTRAL,TEC-AC-10000171,TECHNOLOGY,ACCESSORIES,"VERBATIM 25 GB 6X BLU-RAY SINGLE LAYER RECORDABLE DISC, 25/PACK",45.98
46,CA-2017-118255,11/03/2017,13/03/2017,FIRST CLASS,ON-18715,ODELLA NELSON,CORPORATE,UNITED STATES,EAGAN,MINNESOTA,55122.0,CENTRAL,OFF-BI-10003291,OFFICE SUPPLIES,BINDERS,WILSON JONES LEATHER-LIKE BINDERS WITH DUBLLOCK ROUND RINGS,17.46
47,CA-2015-146703,20/10/2015,25/10/2015,SECOND CLASS,PO-18865,PATRICK O'DONNELL,CONSUMER,UNITED STATES,WESTLAND,MICHIGAN,48185.0,CENTRAL,OFF-ST-10001713,OFFICE SUPPLIES,STORAGE,"GOULD PLASTICS 9-POCKET PANEL BIN, 18-3/8W X 5-1/4D X 20-1/2H, BLACK",211.96
48,CA-2017-169194,20/06/2017,25/06/2017,STANDARD CLASS,LH-16900,LENA HERNANDEZ,CONSUMER,UNITED STATES,DOVER,DELAWARE,19901.0,EAST,TEC-AC-10002167,TECHNOLOGY,ACCESSORIES,IMATIONÂ 8GB MICRO TRAVELDRIVE USB 2.0Â FLASH DRIVE,45.0
49,CA-2017-169194,20/06/2017,25/06/2017,STANDARD CLASS,LH-16900,LENA HERNANDEZ,CONSUMER,UNITED STATES,DOVER,DELAWARE,19901.0,EAST,TEC-PH-10003988,TECHNOLOGY,PHONES,"LF ELITE 3D DAZZLE DESIGNER HARD CASE COVER, LF STYLUS PEN AND WIPER FOR APPLE IPHONE 5C MINI LITE",21.8
50,CA-2016-115742,18/04/2016,22/04/2016,STANDARD CLASS,DP-13000,DARREN POWERS,CONSUMER,UNITED STATES,NEW ALBANY,INDIANA,47150.0,CENTRAL,OFF-BI-10004410,OFFICE SUPPLIES,BINDERS,"C-LINE PEEL & STICK ADD-ON FILING POCKETS, 8-3/4 X 5-1/8, 10/PACK",38.22
51,CA-2016-115742,18/04/2016,22/04/2016,STANDARD CLASS,DP-13000,DARREN POWERS,CONSUMER,UNITED STATES,NEW ALBANY,INDIANA,47150.0,CENTRAL,OFF-LA-10002762,OFFICE SUPPLIES,LABELS,AVERY 485,75.18
52,CA-2016-115742,18/04/2016,22/04/2016,STANDARD CLASS,DP-13000,DARREN POWERS,CONSUMER,UNITED STATES,NEW ALBANY,INDIANA,47150.0,CENTRAL,FUR-FU-10001706,FURNITURE,FURNISHINGS,LONGER-LIFE SOFT WHITE BULBS,6.16
53,CA-2016-115742,18/04/2016,22/04/2016,STANDARD CLASS,DP-13000,DARREN POWERS,CONSUMER,UNITED STATES,NEW ALBANY,INDIANA,47150.0,CENTRAL,FUR-CH-10003061,FURNITURE,CHAIRS,"GLOBAL LEATHER TASK CHAIR, BLACK",89.99
54,CA-2017-105816,11/12/2017,17/12/2017,STANDARD CLASS,JM-15265,JANET MOLINARI,CORPORATE,UNITED STATES,NEW YORK CITY,NEW YORK,10024.0,EAST,OFF-FA-10000304,OFFICE SUPPLIES,FASTENERS,ADVANTUS PUSH PINS,15.26
55,CA-2017-105816,11/12/2017,17/12/2017,STANDARD CLASS,JM-15265,JANET MOLINARI,CORPORATE,UNITED STATES,NEW YORK CITY,NEW YORK,10024.0,EAST,TEC-PH-10002447,TECHNOLOGY,PHONES,AT&T CL83451 4-HANDSET TELEPHONE,1029.95
56,CA-2017-111682,17/06/2017,18/06/2017,FIRST CLASS,TB-21055,TED BUTTERFIELD,CONSUMER,UNITED STATES,TROY,NEW YORK,12180.0,EAST,OFF-ST-10000604,OFFICE SUPPLIES,STORAGE,HOME/OFFICE PERSONAL FILE CARTS,208.56
57,CA-2017-111682,17/06/2017,18/06/2017,FIRST CLASS,TB-21055,TED BUTTERFIELD,CONSUMER,UNITED STATES,TROY,NEW YORK,12180.0,EAST,OFF-PA-10001569,OFFICE SUPPLIES,PAPER,XEROX 232,32.4
58,CA-2017-111682,17/06/2017,18/06/2017,FIRST CLASS,TB-21055,TED BUTTERFIELD,CONSUMER,UNITED STATES,TROY,NEW YORK,12180.0,EAST,FUR-CH-10003968,FURNITURE,CHAIRS,NOVIMEX TURBO TASK CHAIR,319.41
59,CA-2017-111682,17/06/2017,18/06/2017,FIRST CLASS,TB-21055,TED BUTTERFIELD,CONSUMER,UNITED STATES,TROY,NEW YORK,12180.0,EAST,OFF-PA-10000587,OFFICE SUPPLIES,PAPER,"ARRAY PARCHMENT PAPER, ASSORTED COLORS",14.56
60,CA-2017-111682,17/06/2017,18/06/2017,FIRST CLASS,TB-21055,TED BUTTERFIELD,CONSUMER,UNITED STATES,TROY,NEW YORK,12180.0,EAST,TEC-AC-10002167,TECHNOLOGY,ACCESSORIES,IMATIONÂ 8GB MICRO TRAVELDRIVE USB 2.0Â FLASH DRIVE,30.0
61,CA-2017-111682,17/06/2017,18/06/2017,FIRST CLASS,TB-21055,TED BUTTERFIELD,CONSUMER,UNITED STATES,TROY,NEW YORK,12180.0,EAST,OFF-BI-10001460,OFFICE SUPPLIES,BINDERS,PLASTIC BINDING COMBS,48.48
62,CA-2017-111682,17/06/2017,18/06/2017,FIRST CLASS,TB-21055,TED BUTTERFIELD,CONSUMER,UNITED STATES,TROY,NEW YORK,12180.0,EAST,OFF-AR-10001868,OFFICE SUPPLIES,ART,PRANG DUSTLESS CHALK STICKS,1.68
63,CA-2016-135545,24/11/2016,30/11/2016,STANDARD CLASS,KM-16720,KUNST MILLER,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90004.0,WEST,TEC-AC-10004633,TECHNOLOGY,ACCESSORIES,"VERBATIM 25 GB 6X BLU-RAY SINGLE LAYER RECORDABLE DISC, 3/PACK",13.98
64,CA-2016-135545,24/11/2016,30/11/2016,STANDARD CLASS,KM-16720,KUNST MILLER,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90004.0,WEST,OFF-BI-10001078,OFFICE SUPPLIES,BINDERS,"ACCO PRESSTEX DATA BINDER WITH STORAGE HOOKS, DARK BLUE, 14 7/8"" X 11""",25.824
65,CA-2016-135545,24/11/2016,30/11/2016,STANDARD CLASS,KM-16720,KUNST MILLER,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90004.0,WEST,OFF-PA-10003892,OFFICE SUPPLIES,PAPER,XEROX 1943,146.73
66,CA-2016-135545,24/11/2016,30/11/2016,STANDARD CLASS,KM-16720,KUNST MILLER,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90004.0,WEST,FUR-FU-10000397,FURNITURE,FURNISHINGS,LUXO ECONOMY SWING ARM LAMP,79.76
67,US-2016-164175,30/04/2016,05/05/2016,STANDARD CLASS,PS-18970,PAUL STEVENSON,HOME OFFICE,UNITED STATES,CHICAGO,ILLINOIS,60610.0,CENTRAL,FUR-CH-10001146,FURNITURE,CHAIRS,"GLOBAL VALUE MID-BACK MANAGER'S CHAIR, GRAY",213.115
68,CA-2015-106376,05/12/2015,10/12/2015,STANDARD CLASS,BS-11590,BRENDAN SWEED,CORPORATE,UNITED STATES,GILBERT,ARIZONA,85234.0,WEST,OFF-AR-10002671,OFFICE SUPPLIES,ART,"HUNT BOSTON MODEL 1606 HIGH-VOLUME ELECTRIC PENCIL SHARPENER, BEIGE",1113.024
69,CA-2015-106376,05/12/2015,10/12/2015,STANDARD CLASS,BS-11590,BRENDAN SWEED,CORPORATE,UNITED STATES,GILBERT,ARIZONA,85234.0,WEST,TEC-PH-10002726,TECHNOLOGY,PHONES,NETTALK DUO VOIP TELEPHONE SERVICE,167.968
70,CA-2017-119823,04/06/2017,06/06/2017,FIRST CLASS,KD-16270,KAREN DANIELS,CONSUMER,UNITED STATES,SPRINGFIELD,VIRGINIA,22153.0,SOUTH,OFF-PA-10000482,OFFICE SUPPLIES,PAPER,"SNAP-A-WAY BLACK PRINT CARBONLESS RULED SPEED LETTER, TRIPLICATE",75.88
71,CA-2017-106075,18/09/2017,23/09/2017,STANDARD CLASS,HM-14980,HENRY MACALLISTER,CONSUMER,UNITED STATES,NEW YORK CITY,NEW YORK,10009.0,EAST,OFF-BI-10004654,OFFICE SUPPLIES,BINDERS,AVERY BINDING SYSTEM HIDDEN TAB EXECUTIVE STYLE INDEX SETS,4.616
72,CA-2018-114440,14/09/2018,17/09/2018,SECOND CLASS,TB-21520,TRACY BLUMSTEIN,CONSUMER,UNITED STATES,JACKSON,MICHIGAN,49201.0,CENTRAL,OFF-PA-10004675,OFFICE SUPPLIES,PAPER,"TELEPHONE MESSAGE BOOKS WITH FAX/MOBILE SECTION, 5 1/2"" X 3 3/16""",19.05
73,US-2016-134026,26/04/2016,02/05/2016,STANDARD CLASS,JE-15745,JOEL EATON,CONSUMER,UNITED STATES,MEMPHIS,TENNESSEE,38109.0,SOUTH,FUR-CH-10000513,FURNITURE,CHAIRS,HIGH-BACK LEATHER MANAGER'S CHAIR,831.936
74,US-2016-134026,26/04/2016,02/05/2016,STANDARD CLASS,JE-15745,JOEL EATON,CONSUMER,UNITED STATES,MEMPHIS,TENNESSEE,38109.0,SOUTH,FUR-FU-10003708,FURNITURE,FURNISHINGS,"TENEX TRADITIONAL CHAIRMATS FOR MEDIUM PILE CARPET, STANDARD LIP, 36"" X 48""",97.04
75,US-2016-134026,26/04/2016,02/05/2016,STANDARD CLASS,JE-15745,JOEL EATON,CONSUMER,UNITED STATES,MEMPHIS,TENNESSEE,38109.0,SOUTH,OFF-ST-10004123,OFFICE SUPPLIES,STORAGE,SAFCO INDUSTRIAL WIRE SHELVING SYSTEM,72.784
76,US-2018-118038,09/12/2018,11/12/2018,FIRST CLASS,KB-16600,KEN BRENNAN,CORPORATE,UNITED STATES,HOUSTON,TEXAS,77041.0,CENTRAL,OFF-BI-10004182,OFFICE SUPPLIES,BINDERS,ECONOMY BINDERS,1.248
77,US-2018-118038,09/12/2018,11/12/2018,FIRST CLASS,KB-16600,KEN BRENNAN,CORPORATE,UNITED STATES,HOUSTON,TEXAS,77041.0,CENTRAL,FUR-FU-10000260,FURNITURE,FURNISHINGS,"6"" CUBICLE WALL CLOCK, BLACK",9.708
78,US-2018-118038,09/12/2018,11/12/2018,FIRST CLASS,KB-16600,KEN BRENNAN,CORPORATE,UNITED STATES,HOUSTON,TEXAS,77041.0,CENTRAL,OFF-ST-10000615,OFFICE SUPPLIES,STORAGE,"SIMPLIFILE PERSONAL FILE, BLACK GRANITE, 15W X 6-15/16D X 11-1/4H",27.24
79,US-2015-147606,26/11/2015,01/12/2015,SECOND CLASS,JE-15745,JOEL EATON,CONSUMER,UNITED STATES,HOUSTON,TEXAS,77070.0,CENTRAL,FUR-FU-10003194,FURNITURE,FURNISHINGS,"ELDON EXPRESSIONS DESK ACCESSORY, WOOD PENCIL HOLDER, OAK",19.3
80,CA-2017-127208,12/06/2017,15/06/2017,FIRST CLASS,SC-20770,STEWART CARMICHAEL,CORPORATE,UNITED STATES,DECATUR,ALABAMA,35601.0,SOUTH,OFF-AP-10002118,OFFICE SUPPLIES,APPLIANCES,"1.7 CUBIC FOOT COMPACT ""CUBE"" OFFICE REFRIGERATORS",208.16
81,CA-2017-127208,12/06/2017,15/06/2017,FIRST CLASS,SC-20770,STEWART CARMICHAEL,CORPORATE,UNITED STATES,DECATUR,ALABAMA,35601.0,SOUTH,OFF-BI-10002309,OFFICE SUPPLIES,BINDERS,AVERY HEAVY-DUTY EZD  BINDER WITH LOCKING RINGS,16.74
82,CA-2015-139451,12/10/2015,16/10/2015,STANDARD CLASS,DN-13690,DUANE NOONAN,CONSUMER,UNITED STATES,SAN FRANCISCO,CALIFORNIA,94122.0,WEST,OFF-AR-10002053,OFFICE SUPPLIES,ART,"PREMIUM WRITING PENCILS, SOFT, #2 BY CENTRAL ASSOCIATION FOR THE BLIND",14.9
83,CA-2015-139451,12/10/2015,16/10/2015,STANDARD CLASS,DN-13690,DUANE NOONAN,CONSUMER,UNITED STATES,SAN FRANCISCO,CALIFORNIA,94122.0,WEST,OFF-ST-10002370,OFFICE SUPPLIES,STORAGE,"SORTFILER MULTIPURPOSE PERSONAL FILE ORGANIZER, BLACK",21.39
84,CA-2016-149734,03/09/2016,08/09/2016,STANDARD CLASS,JC-16105,JULIE CREIGHTON,CORPORATE,UNITED STATES,DURHAM,NORTH CAROLINA,27707.0,SOUTH,OFF-EN-10000927,OFFICE SUPPLIES,ENVELOPES,JET-PAK RECYCLED PEEL 'N' SEAL PADDED MAILERS,200.984
85,US-2018-119662,13/11/2018,16/11/2018,FIRST CLASS,CS-12400,CHRISTOPHER SCHILD,HOME OFFICE,UNITED STATES,CHICAGO,ILLINOIS,60623.0,CENTRAL,OFF-ST-10003656,OFFICE SUPPLIES,STORAGE,SAFCO INDUSTRIAL WIRE SHELVING,230.376
86,CA-2018-140088,28/05/2018,30/05/2018,SECOND CLASS,PO-18865,PATRICK O'DONNELL,CONSUMER,UNITED STATES,COLUMBIA,SOUTH CAROLINA,29203.0,SOUTH,FUR-CH-10000863,FURNITURE,CHAIRS,NOVIMEX SWIVEL FABRIC TASK CHAIR,301.96
87,CA-2018-155558,26/10/2018,02/11/2018,STANDARD CLASS,PG-18895,PAUL GONZALEZ,CONSUMER,UNITED STATES,ROCHESTER,MINNESOTA,55901.0,CENTRAL,TEC-AC-10001998,TECHNOLOGY,ACCESSORIES,LOGITECHÂ LS21 SPEAKER SYSTEM - PC MULTIMEDIA - 2.1-CH - WIRED,19.99
